,NAME,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,msa
202,"Homosassa Springs, FL Metro Area",149657,80902,80902,16454,16454,64448,64448,,10975,3150,30491,39096,6579,881,454576,24870,14523,37558,40890,15281,11879,26140
203,"Hot Springs, AR Metro Area",99386,51011,51011,9268,9268,41743,41743,41743,12659,4965,16004,23823,4677,785,280307,24298,6349,20930,24557,13383,7346,26300
204,"Houma-Thibodaux, LA Metro Area",208075,87688,87688,10756,10756,76932,76932,76932,21550,8023,21692,45820,10167,1109,487106,26195,28918,55644,33876,15266,7774,26380
205,"Houston-The Woodlands-Sugar Land, TX Metro Area",7066140,2690001,2690001,253563,253563,2436438,2436438,2436438,972546,401339,556262,942294,598663,136455,15491803,34661,702982,1075744,1270252,971507,551225,26420
206,"Huntington-Ashland, WV-KY-OH Metro Area",355873,168276,168276,31589,31589,136687,136687,136687,39459,10113,44020,80239,24489,5996,1016244,25362,30945,91647,73294,31504,21775,26580
207,"Huntsville, AL Metro Area",471824,203043,203043,15145,15145,187898,187898,187898,58813,16178,34512,88704,48701,12772,1293906,32734,26882,73056,94873,81139,49627,26620
210,"Idaho Falls, ID Metro Area",151516,55695,55695,4543,4543,51152,51152,51152,14252,3371,11709,17161,10764,11904,388878,28666,6484,24280,33140,20343,7825,26820
212,"Indianapolis-Carmel-Anderson, IN Metro Area",2076531,875563,875563,81782,81782,793781,793781,793781,276508,89654,224566,348191,157573,39667,5437922,34148,133595,394308,371565,314963,173394,26900
213,"Iowa City, IA Metro Area",173105,76079,76079,5910,5910,70169,70169,70169,28727,6917,21410,23499,14331,7859,468974,32019,6700,19850,27079,27667,23501,26980
214,"Ithaca, NY Metro Area",102180,44633,44633,,4311,40322,40322,40322,20129,9040,10956,13089,6501,2183,244655,29958,2704,10180,12855,14218,19741,27060
215,"Jackson, MI Metro Area",158510,69818,69818,8415,8415,61403,61403,61403,15815,7551,17594,30680,10269,3232,426118,29960,10895,39897,35086,17016,8550,27100
216,"Jackson, MS Metro Area",594800,253666,253666,34813,34813,218853,218853,218853,73448,17811,50190,132589,43713,7357,1497857,26299,47298,100960,124710,76855,45539,27140
217,"Jackson, TN Metro Area",178644,79794,79794,9415,9415,70379,70379,70379,24659,3951,20760,40937,11226,2290,480152,26299,15628,45673,31608,16866,10110,27180
218,"Jacksonville, FL Metro Area",1559514,669824,669824,85443,85443,584381,584381,584381,198611,58041,143620,291718,139183,29090,3975691,32431,91122,301614,339137,229042,123576,27260
219,"Jacksonville, NC Metro Area",197938,81076,81076,17472,17472,63604,63604,63604,29006,2684,18560,42209,14509,2414,464493,23711,9030,32295,40562,19019,7770,27340
221,"Janesville-Beloit, WI Metro Area",163354,69429,69429,4113,4113,65316,65316,65316,20502,5791,18367,31913,10301,2501,415491,32487,9022,41390,34774,17198,8551,27500
223,"Jefferson City, MO Metro Area",151418,66306,66306,6579,6579,59727,59727,,18100,3781,15957,29909,12105,3916,424375,31832,10034,33680,31274,20396,10087,27620
224,"Johnson City, TN Metro Area",203697,98642,98642,9621,9621,89021,89021,89021,27865,7675,29307,42384,14147,3069,567328,25359,18238,47844,41040,22852,15678,27740
225,"Johnstown, PA Metro Area",130192,66019,66019,9529,9529,56490,56490,56490,14186,5003,17034,30656,10340,2090,418947,26251,5748,43640,25191,12408,6970,27780
226,"Jonesboro, AR Metro Area",133860,57979,57979,,6691,51288,51288,51288,20916,4038,16793,28308,6054,1762,336074,25683,10904,29498,26589,12876,7655,27860
227,"Joplin, MO Metro Area",179564,77117,77117,9950,9950,67167,67167,67167,23228,5974,19906,35566,10479,2906,460475,25453,15742,41276,35464,18548,8760,27900
228,"Kahului-Wailuku-Lahaina, HI Metro Area",167488,74569,74569,,19825,54744,54744,54744,21455,12010,22915,23191,10257,2352,320251,36306,11307,37043,38871,22759,10640,27980
229,"Kalamazoo-Portage, MI Metro Area",265066,113062,113062,9866,9866,103196,103196,103196,39605,16152,31608,37778,19532,5322,672425,28359,12551,37992,52009,37862,25669,28020
231,"Kankakee, IL Metro Area",109862,45753,45753,6170,6170,39583,39583,,13313,2348,11193,23829,5482,1686,267750,30503,6929,27236,23946,8564,5554,28100
232,"Kansas City, MO-KS Metro Area",2155068,925786,925786,81476,81476,844310,844310,844310,294903,96706,218982,350474,192101,51013,5707192,36324,105901,388796,415809,347595,203966,28140
235,"Kennewick-Richland, WA Metro Area",299612,107873,107873,6033,6033,101840,101840,101840,33039,9528,23011,48269,19112,6229,649473,35397,27572,47199,61652,33496,18841,28420
237,"Killeen-Temple, TX Metro Area",460993,181019,181019,23931,23931,157088,157088,157088,69303,18545,35784,78597,39951,5044,974416,29388,28735,75741,113868,42071,25987,28660
238,"Kingsport-Bristol, TN-VA Metro Area",307707,150167,150167,19239,19239,130928,130928,130928,35349,8198,39126,75222,20062,5427,907476,26558,28238,78372,67103,32567,19285,28700
239,"Kingston, NY Metro Area",177573,85616,85616,16240,16240,69376,69376,69376,22627,11501,22260,33904,12117,3242,493996,32198,12002,37183,38025,21405,21327,28740
241,"Knoxville, TN Metro Area",869525,392895,392895,44968,44968,347927,347927,347927,108286,28826,98547,178772,63332,16364,2384364,29348,63638,186044,174646,110163,70515,28940
242,"Kokomo, IN Metro Area",82544,39860,39860,,5709,34151,34151,,9231,3145,11869,17566,5334,1136,237128,30035,5846,19730,21397,6814,3606,29020
243,"La Crosse-Onalaska, WI-MN Metro Area",136616,59829,59829,3314,3314,56515,56515,56515,18541,6531,16685,21917,10787,3291,365046,31868,3993,25203,30558,19469,10884,29100
244,"Lafayette, LA Metro Area",489207,213304,213304,28991,28991,184313,184313,184313,57833,17048,49225,113863,28110,3556,1209072,28020,45202,118630,81817,59341,22799,29180
245,"Lafayette-West Lafayette, IN Metro Area",233674,96221,96221,6566,6566,89655,89655,89655,37182,10162,23350,39728,17540,3323,574026,26293,13091,40765,34241,26507,20680,29200
247,"Lake Charles, LA Metro Area",209035,96832,96832,17327,17327,79505,79505,79505,26474,6629,23342,50160,13890,1398,545747,28739,19305,49250,38077,20063,11570,29340
249,"Lake Havasu City-Kingman, AZ Metro Area",212181,116201,116201,25106,25106,91095,91095,91095,25307,8319,37678,57683,9608,1266,610799,25668,21236,55224,64740,13958,8053,29420
250,"Lakeland-Winter Haven, FL Metro Area",724777,304440,304440,65811,65811,238629,238629,238629,73140,26448,97902,124535,46512,5841,1691499,26196,67412,172422,159809,69107,35533,29460
251,"Lancaster, PA Metro Area",545724,213299,213299,8598,8598,204701,204701,204701,62179,17496,45365,90056,44760,11041,1346783,32236,52866,128767,83551,68160,36279,29540
252,"Lansing-East Lansing, MI Metro Area",550391,234598,234598,18744,18744,215854,215854,215854,70506,23190,61816,97797,38802,9101,1420381,31108,21673,94598,121628,71931,50910,29620
253,"Laredo, TX Metro Area",276652,85800,85800,9474,9474,76326,76326,76326,30600,7747,20129,42041,10650,2350,453598,23473,52961,30963,40492,23467,8165,29700
254,"Las Cruces, NM Metro Area",218195,89967,89967,10873,10873,79094,79094,79094,28020,5676,24170,43645,12988,1541,476217,21742,29664,28024,40243,20591,16057,29740
255,"Las Vegas-Henderson-Paradise, NV Metro Area",2266715,924533,924533,110926,110926,813607,813607,813607,372222,101164,250264,325600,171078,46268,4873706,31819,213359,440002,507479,262662,137445,29820
257,"Lawrence, KS Metro Area",122259,51770,51770,,,48508,48508,48508,24605,5637,15253,16507,9000,3920,299509,27280,3605,15135,19529,21459,12610,29940
258,"Lawton, OK Metro Area",126043,54528,54528,10401,10401,44127,44127,44127,20619,3555,10851,28516,8340,1107,303558,26581,7966,28038,29100,10082,6742,30020
260,"Lebanon, PA Metro Area",141793,58258,58258,4397,4397,53861,53861,53861,15523,4291,12870,27772,9739,2132,358927,31570,13052,43389,21172,13483,7082,30140
261,"Lewiston, ID-WA Metro Area",62990,28969,28969,,,26915,26915,,6782,1841,7577,11368,6114,1660,181096,31756,3438,12641,17390,6671,3989,30300
262,"Lewiston-Auburn, ME Metro Area",108277,50309,50309,,,45924,45924,45924,16084,5711,14208,20683,6883,1934,288007,33658,6745,25890,24168,12689,6345,30340
263,"Lexington-Fayette, KY Metro Area",517056,224430,224430,18516,18516,205914,205914,205914,84621,23338,50452,92039,42429,11138,1318228,31280,28510,84509,98521,73159,58024,30460
264,"Lima, OH Metro Area",102351,45188,45188,,4728,40460,40460,40460,12193,2431,10115,22388,7230,2317,284019,29681,6270,28962,20432,9208,4179,30620
265,"Lincoln, NE Metro Area",336541,142206,142206,7198,7198,135008,135008,135008,52808,19537,38579,47520,25608,8379,870943,32175,14294,43743,68196,52903,30139,30700
266,"Little Rock-North Little Rock-Conway, AR Metro Area",744483,331096,331096,42531,42531,288565,288565,288565,103973,30607,77163,159744,49271,7973,1886496,30531,43510,153898,151756,96172,55858,30780
267,"Logan, UT-ID Metro Area",141760,48223,48223,3180,3180,45043,45043,45043,15662,3408,10539,13827,10205,10000,326136,24667,5894,18317,26012,16080,8994,30860
269,"Longview, TX Metro Area",286657,120460,120460,17496,17496,102964,102964,102964,32929,11317,28237,59547,16434,2469,679776,27081,26516,57400,69125,25682,11827,30980
270,"Longview, WA Metro Area",110593,45285,45285,,,42790,42790,42790,14985,4484,11052,18754,7278,2139,266600,30183,7838,22743,35045,8010,3838,31020
271,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13214799,4697571,4697571,324893,324893,4372678,4372678,4372678,2264637,853122,1365007,1343162,675826,176101,22962290,32473,1708635,1829694,2371370,2119864,1132529,31080
272,"Louisville/Jefferson County, KY-IN Metro Area",1266389,551989,551989,56743,56743,495246,495246,495246,162394,58944,136312,229394,92424,26732,3335257,31925,80535,260983,267084,166621,103264,31140
273,"Lubbock, TX Metro Area",321982,136238,136238,14400,14400,121838,121838,121838,52217,14470,30669,64273,21486,2146,739245,27520,26386,49344,56783,36911,23769,31180
276,"Lynchburg, VA Metro Area",266186,117772,117772,14893,14893,102879,102879,102879,29834,6197,31219,56497,18134,4636,726159,29716,20639,51376,54121,32664,19664,31340
277,"Macon-Bibb County, GA Metro Area",231130,103354,103354,17490,17490,85864,85864,85864,31922,8424,24445,46167,18010,4654,623081,26543,19230,51317,46813,20174,17041,31420
278,"Madera, CA Metro Area",157327,51440,51440,,7053,44387,44387,44387,16166,2844,8706,24913,12097,2161,296035,24740,26886,25071,33413,10116,3906,31460
279,"Madison, WI Metro Area",664865,294054,294054,15040,15040,279014,279014,279014,109934,36592,82496,101846,51660,11382,1724286,39975,19903,90494,120145,130659,87444,31540
280,"Manchester-Nashua, NH Metro Area",417025,173305,173305,10717,10717,162588,162588,162588,53493,20800,52674,63097,29270,4453,1008277,38894,22961,78345,83850,72579,39867,31700
281,"Manhattan, KS Metro Area",130285,56719,56719,10193,10193,46526,46526,46526,23773,4809,15967,21236,10081,3007,333381,26311,2622,16263,25271,15109,11289,31740
283,"Mankato, MN Metro Area",101927,42853,42853,3062,3062,39791,39791,39791,13866,3582,10235,14441,9908,3548,276376,31742,2635,15167,20771,15082,7757,31860
284,"Mansfield, OH Metro Area",121154,54101,54101,4289,4289,49812,49812,,16274,4159,14710,26337,6776,1734,332189,25020,9665,34298,25377,9555,6497,31900
290,"Mayagüez, PR Metro Area",94806,53151,53151,15810,15810,37341,37341,37341,15988,4503,13015,28090,4493,1279,243186,,,,,,,32420
291,"McAllen-Edinburg-Mission, TX Metro Area",868707,285996,285996,38452,38452,247544,247544,247544,78818,26565,84466,119620,41623,6100,1405752,19896,160213,120675,118408,66693,27258,32580
293,"Medford, OR Metro Area",220944,97268,97268,9468,9468,87800,87800,87800,32503,9469,29655,44494,9924,1574,523425,28389,14908,45144,55291,25539,18520,32780
294,"Memphis, TN-MS-AR Metro Area",1344910,573811,573811,68763,68763,505048,505048,505048,208116,48890,133039,251510,103288,28812,3444748,29979,105073,260787,270241,155591,101435,32820
295,"Merced, CA Metro Area",277680,86386,86386,5741,5741,80645,80645,80645,38578,4695,17159,40483,17859,3839,486222,27470,51815,40709,50760,17021,7155,32900
297,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6166488,2562497,2562497,375305,375305,2187192,2187192,2187192,892888,365471,931885,789857,299973,84817,12643425,29323,651185,1162447,1152331,913264,555831,33100
298,"Michigan City-La Porte, IN Metro Area",109888,49317,49317,,6217,43100,43100,43100,11853,3394,13030,23345,7324,1759,293690,30697,8827,30369,24218,9616,4262,33140
299,"Midland, MI Metro Area",83156,37202,37202,,,34350,34350,34350,6460,2808,7583,18847,5956,1941,238157,35740,3349,16896,17060,12874,8402,33220
300,"Midland, TX Metro Area",182782,65223,65223,,4064,61159,61159,61159,18615,6293,12592,29792,12776,2792,373336,36198,16188,26412,37765,22297,11035,33260
301,"Milwaukee-Waukesha, WI Metro Area",1575179,683615,683615,48264,48264,635351,635351,635351,254881,81137,195513,271114,99214,22652,3929695,36081,84920,287378,313029,258655,133723,33340
302,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3640043,1469597,1469597,73572,73572,1396025,1396025,1396025,416595,188066,357171,443373,332460,109954,9402375,41474,145258,530423,734565,702983,369679,33460
304,"Missoula, MT Metro Area",119600,55544,55544,,4691,50853,50853,50853,19181,5635,17824,18422,7803,4043,308903,29924,3511,18062,23881,24561,11781,33540
305,"Mobile, AL Metro Area",428039,193056,193056,31839,31839,161217,161217,161217,57853,16462,42887,94124,32166,5057,1143867,26879,36248,105703,82572,42865,23401,33660
306,"Modesto, CA Metro Area",550660,182987,182987,8289,8289,174698,174698,174698,74451,13445,41776,84551,32691,7130,1014343,31226,68799,106940,113257,43323,17260,33700
307,"Monroe, LA Metro Area",200261,95207,95207,18013,18013,77194,77194,77194,30268,7242,23123,45256,14718,3048,533713,24752,18714,46328,37332,20335,10514,33740
308,"Monroe, MI Metro Area",150500,65256,65256,,4381,60875,60875,60875,13362,4667,10827,34527,11749,2374,419379,31520,9679,34374,36716,17703,8591,33780
309,"Montgomery, AL Metro Area",372809,168417,168417,23167,23167,145250,145250,145250,52443,11956,32989,81404,33582,6258,1002705,29428,27292,72773,74138,47881,30950,33860
311,"Morgantown, WV Metro Area",139044,60379,60379,,7250,53129,,53129,18591,5159,17053,25552,8933,2093,358112,26275,9430,25966,21446,16764,17996,34060
312,"Morristown, TN Metro Area",142749,63493,63493,7619,7619,55874,55874,,13721,4145,17334,31146,6931,2864,368417,23516,17272,36481,27284,11915,7421,34100
316,"Mount Vernon-Anacortes, WA Metro Area",129205,54936,54936,,5893,49043,49043,49043,14778,4988,14124,25743,6980,917,296490,33900,9114,23354,34681,16181,8642,34580
317,"Muncie, IN Metro Area",114135,52715,52715,7075,7075,45640,45640,,17547,4835,15607,23709,6673,1154,305091,22383,5572,26287,23659,8418,7795,34620
318,"Muskegon, MI Metro Area",173566,74496,74496,8348,8348,66148,66148,66148,17069,5400,21718,33368,11366,1834,433831,27079,9370,40666,44125,16905,7879,34740
320,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",496901,309922,309922,111277,111277,198645,198645,198645,48030,14397,83819,153606,41635,11861,1703250,28990,37001,116735,124442,64853,37746,34820
322,"Napa, CA Metro Area",137744,55659,55659,7552,7552,48107,48107,48107,16287,7627,14402,20103,9058,2956,305726,40520,14180,17961,30205,21590,13730,34900
323,"Naples-Marco Island, FL Metro Area",384902,222289,222289,81711,81711,140578,140578,140578,36221,12951,92334,84278,27785,2422,1138063,31942,32499,79547,76285,61075,43805,34940
324,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1933860,806178,806178,72391,72391,733787,733787,733787,250599,76255,195837,346686,138186,37329,4889755,35196,124603,333151,349261,326225,179304,34980
325,"New Bern, NC Metro Area",127904,61309,61309,,8964,52345,52345,52345,15316,1848,12401,36249,9269,1384,361382,28181,9284,25011,34537,11510,6672,35100
327,"New Haven-Milford, CT Metro Area",854757,368680,368680,39674,39674,329006,329006,329006,129887,52853,110770,134849,51063,10402,2023512,35267,63516,183855,142226,112267,98814,35300
328,"New Orleans-Metairie, LA Metro Area",1270530,561747,561747,76480,76480,485267,485267,485267,177392,62872,142183,230282,97580,16866,3218043,30324,105970,246877,248302,174560,111817,35380
330,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19216182,7797416,7797416,694599,694599,7102817,7102817,7102817,3491333,1611651,2151464,2121193,1083747,398407,40537346,40271,1710664,3316837,2830504,3266624,2375867,35620
331,"Niles, MI Metro Area",153401,77902,77902,16093,16093,61809,61809,61809,16108,5670,19447,34487,12655,4032,479949,28296,10352,29250,38732,17084,11923,35660
332,"North Port-Sarasota-Bradenton, FL Metro Area",836995,448252,448252,115670,115670,332582,332582,332582,77728,36149,184257,169029,44195,9738,2404055,31819,50806,187551,192059,127154,92061,35840
334,"Norwich-New London, CT Metro Area",265206,124208,124208,14456,14456,109752,109752,109752,38438,16388,31809,45132,22608,5901,739979,36934,12509,53513,59528,34098,28531,35980
336,"Ocala, FL Metro Area",365579,173200,173200,27578,27578,145622,145622,145622,41470,8444,55919,85778,17848,1615,952062,26553,30139,100297,86988,34545,21886,36100
337,"Ocean City, NJ Metro Area",92039,99630,99630,58691,58691,40939,40939,,10406,6469,21020,38786,22666,8885,581042,36854,4530,24431,18525,12764,9707,36140
338,"Odessa, TX Metro Area",166223,59599,59599,6444,6444,53155,53155,53155,20523,7202,12881,28288,8602,874,312242,35354,23976,30270,31188,10038,5199,36220
339,"Ogden-Clearfield, UT Metro Area",683024,230000,230000,11276,11276,218724,218724,218724,52285,10645,38342,67022,56207,55162,1656192,35073,23592,102456,153987,91577,40002,36260
341,"Oklahoma City, OK Metro Area",1408950,582820,582820,58901,58901,523919,523919,523919,192185,52731,130841,282783,94117,11322,3307892,32340,100050,255496,276039,183585,106502,36420
343,"Olympia-Lacey-Tumwater, WA Metro Area",290536,119553,119553,6644,6644,112909,112909,112909,35342,9687,25548,59650,18434,2802,716829,37351,13585,46261,74773,41091,29405,36500
344,"Omaha-Council Bluffs, NE-IA Metro Area",949726,394296,394296,27259,27259,367037,367037,367037,124580,47753,91859,150221,76192,21972,2496466,36907,45581,151476,192937,154146,81781,36540
347,"Orlando-Kissimmee-Sanford, FL Metro Area",2608147,1077100,1077100,187278,187278,889822,889822,889822,338963,106675,280067,403175,216437,52068,6037047,29401,196771,462744,540556,391960,208269,36740
348,"Oshkosh-Neenah, WI Metro Area",171907,76311,76311,,5073,71238,71238,71238,26041,6813,23144,29186,11642,2819,441637,32222,8989,38072,34134,26168,10540,36780
350,"Owensboro, KY Metro Area",121128,51844,51844,3425,3425,48419,48419,48419,14470,4256,14357,22821,7749,1951,301583,29329,10599,27705,25765,11798,7134,36980
351,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",846006,291547,291547,23023,23023,268524,268524,268524,100014,27925,73355,93577,74885,16068,1674991,35828,78199,120731,177284,126372,74668,37100
354,"Palm Bay-Melbourne-Titusville, FL Metro Area",601942,282830,282830,52787,52787,230043,230043,230043,51737,19819,74506,129639,47143,7100,1607860,30467,33811,125446,154500,84941,52074,37340
355,"Panama City, FL Metro Area",174705,104764,104764,35569,35569,69195,69195,69195,20264,11698,32609,45212,12800,1115,526832,29410,11284,36115,45392,20426,12843,37460
356,"Parkersburg-Vienna, WV Metro Area",89676,43616,43616,6670,6670,36946,36946,,9280,3078,10757,21123,6314,1326,272723,25743,7146,22238,22407,8085,4843,37620
357,"Pensacola-Ferry Pass-Brent, FL Metro Area",502629,217666,217666,30861,30861,186805,186805,186805,64155,15040,45442,110151,39943,4707,1242450,28251,35994,101554,121998,55285,31223,37860
358,"Peoria, IL Metro Area",400912,183393,183393,21262,21262,162131,162131,162131,44199,18280,49565,74624,28224,8700,1124051,32161,18289,86653,91581,51782,27860,37900
359,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6102434,2507446,2507446,184239,184239,2323207,2323207,2323207,773834,307051,491687,1010133,520180,120056,15619020,36640,373155,1210742,1006726,981041,677330,37980
360,"Phoenix-Mesa-Chandler, AZ Metro Area",4948203,1970654,1970654,205519,205519,1765135,1765135,1765135,625739,213544,521464,688651,398744,102187,11027836,33960,401098,768811,1096688,686516,387981,38060
361,"Pine Bluff, AR Metro Area",89437,42743,42743,,8453,34290,34290,,11089,2884,9354,24732,4126,672,247946,24656,8311,26200,17754,6763,3463,38220
363,"Pittsburgh, PA Metro Area",2317600,1133294,1133294,104858,104858,1028436,1028436,1028436,327108,132880,290593,460543,183156,41941,6914563,34434,97527,532317,453540,369868,239397,38300
364,"Pittsfield, MA Metro Area",124944,69223,69223,15431,15431,53792,53792,53792,16157,8775,15040,31098,10461,3049,409414,31203,7168,27263,26536,16158,15118,38340
366,"Pocatello, ID Metro Area",94588,38313,38313,3773,3773,34540,34540,34540,11044,2830,8817,13443,6434,5698,242467,26147,3674,15826,24357,11530,5801,38540
367,"Ponce, PR Metro Area",217403,100825,100825,20721,20721,80104,80104,80104,24230,4910,18100,57285,15864,3352,501132,,,,,,,38660
369,"Portland-South Portland, ME Metro Area",538500,278168,278168,51264,51264,226904,226904,226904,65380,31465,80782,105923,40233,12304,1591328,36295,22637,103137,103800,103998,64510,38860
370,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2493221,1021843,1021843,57289,57289,964554,964554,964554,368545,113483,255993,382567,178654,44202,5800054,37932,128863,368268,559019,437779,275571,38900
371,"Port St. Lucie, FL Metro Area",489297,226839,226839,44925,44925,181914,181914,181914,42219,11310,80058,97867,28512,5833,1301523,30211,43189,110465,115618,60391,35650,38940
374,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",679158,266764,266764,24814,24814,241950,241950,241950,80879,31476,64056,96362,55246,14163,1599807,37207,41818,125113,136333,82099,68958,39100
375,"Prescott Valley-Prescott, AZ Metro Area",235099,120652,120652,,17868,102784,102784,102784,30112,11733,37661,52204,13485,3212,657441,28521,14948,47369,67755,28432,23437,39150
376,"Providence-Warwick, RI-MA Metro Area",1624578,707080,707080,79378,79378,627702,627702,627702,238221,96841,207958,272291,92710,20922,3940350,33960,134955,331964,299066,236130,144134,39300
377,"Provo-Orem, UT Metro Area",649603,190792,190792,8573,8573,182219,182219,182219,58429,9504,30700,54364,41218,53311,1374426,28197,14414,59519,120864,93987,39208,39340
378,"Pueblo, CO Metro Area",168424,71897,71897,5786,5786,66111,66111,66111,21783,7862,17747,28134,12758,4443,428682,27414,10115,33985,45024,17960,9294,39380
379,"Punta Gorda, FL Metro Area",188910,107124,107124,30535,30535,76589,76589,76589,13894,7035,39543,51621,6740,958,532162,26607,14932,56412,52203,22225,12812,39460
381,"Racine, WI Metro Area",196311,83124,83124,,4219,78905,78905,78905,25954,8815,21295,39441,11727,1752,496875,31978,13906,40845,44860,22880,12230,39540
382,"Raleigh-Cary, NC Metro Area",1390785,562945,562945,43297,43297,519648,519648,519648,178843,49486,118774,227400,121600,38058,3512075,38791,72241,163322,251039,279121,169597,39580
383,"Rapid City, SD Metro Area",142191,62624,62624,6168,6168,56456,56456,56456,18042,6465,16962,20928,13608,3476,376323,29639,6198,26012,35604,20032,10183,39660
384,"Reading, PA Metro Area",421164,167863,167863,13167,13167,154696,154696,154696,46983,15096,34978,71486,33921,9187,1053651,32047,36800,107603,70040,46869,26113,39740
386,"Redding, CA Metro Area",180080,78621,78621,5907,5907,72714,72714,72714,26751,5793,20988,38850,9507,1342,425679,28788,8591,31700,59422,19470,8321,39820
387,"Reno, NV Metro Area",475290,207113,207113,14711,14711,192402,192402,192402,79895,22846,46976,76498,41975,9666,1141810,35915,37179,74309,114513,63975,40492,39900
389,"Richmond, VA Metro Area",1290866,533680,533680,41789,41789,491891,491891,491891,165663,43690,112088,211378,121921,37275,3430340,35331,89419,229572,243840,206470,131964,40060
391,"Riverside-San Bernardino-Ontario, CA Metro Area",4650631,1588615,1588615,208909,208909,1379706,1379706,1379706,498394,141131,403399,556042,353409,102713,8826051,30783,541858,784034,991827,446734,247252,40140
392,"Roanoke, VA Metro Area",312796,146848,146848,20379,20379,126469,126469,126469,38877,9960,38615,61591,28952,6184,899939,30939,21176,70613,66659,40424,24116,40220
394,"Rochester, MN Metro Area",221921,96944,96944,4662,4662,92282,92282,92282,23744,7679,24463,30069,24885,8257,639361,40660,8375,35801,45563,35075,27786,40340
395,"Rochester, NY Metro Area",1069644,484126,484126,46830,46830,437296,437296,437296,147420,61126,107971,192154,89006,19084,2913401,32481,69293,187428,214010,156307,120800,40380
396,"Rockford, IL Metro Area",336116,145799,145799,12261,12261,133538,133538,133538,42590,10674,39202,64888,23289,5978,894011,30660,26519,71374,74183,36483,19405,40420
397,"Rocky Mount, NC Metro Area",145770,68394,68394,9863,,58531,58531,58531,21790,2789,18435,36486,8644,1527,389422,25840,14768,36198,32449,13736,3881,40580
398,"Rome, GA Metro Area",98498,40764,40764,,5321,35443,35443,35443,13867,3277,11353,17288,5280,1596,232520,24880,9548,24571,16818,7882,7223,40660
402,"Sacramento-Roseville-Folsom, CA Metro Area",2363730,918822,918822,64543,64543,854279,854279,854279,337909,95731,222394,349190,184869,47579,5151511,36560,158594,355147,548499,362352,188781,40900
403,"Saginaw, MI Metro Area",190539,88021,88021,8971,8971,79050,79050,79050,22070,6878,22785,42419,12446,2270,539792,26492,13558,43829,46143,18523,10413,40980
404,"St. Cloud, MN Metro Area",201964,83168,83168,6695,6695,76473,76473,76473,24614,8383,22851,24710,21621,4806,516865,31876,11891,36456,45312,24070,9873,41060
405,"St. George, UT Metro Area",177556,74135,74135,10991,10991,63144,63144,63144,17628,4647,12365,31270,15903,9067,456172,28674,7300,25469,51654,19443,12180,41100
406,"St. Joseph, MO-KS Metro Area",125411,54154,54154,7196,7196,46958,46958,46958,17245,6237,15255,21250,8035,1849,318290,26315,8823,37398,24233,12808,4763,41140
407,"St. Louis, MO-IL Metro Area",2801423,1267434,1267434,121851,121851,1145583,1145583,1145583,352986,137284,353362,484243,225184,48612,7644156,35366,146652,509118,602000,411038,289219,41180
409,"Salem, OR Metro Area",433903,161596,161596,,9311,152285,152285,152285,55006,13409,45898,70528,23303,5212,921703,30983,37314,68234,104567,49654,26477,41420
410,"Salinas, CA Metro Area",434061,143213,143213,14986,14986,128227,128227,128227,60485,15725,39397,55788,23588,3499,737181,30396,77485,57017,71989,41618,29815,41500
411,"Salisbury, MD-DE Metro Area",415726,254749,254749,87915,87915,166834,166834,166834,43656,14467,56323,127737,41856,11082,1531490,30980,36031,93700,82253,50062,37785,41540
412,"Salt Lake City, UT Metro Area",1232696,434654,434654,28670,28670,405984,405984,405984,129147,44892,92158,110418,91871,83746,2854860,35234,64905,182166,250643,188289,97663,41620
413,"San Angelo, TX Metro Area",121376,50323,50323,,5666,44657,44657,44657,14830,3946,13706,23649,7322,276,269961,28690,9660,23505,26304,10515,8098,41660
414,"San Antonio-New Braunfels, TX Metro Area",2550960,914421,914421,83823,83823,830598,830598,830598,310192,116382,193845,370411,175097,34085,5142764,30257,239408,434585,510739,306816,172694,41700
415,"San Diego-Chula Vista-Carlsbad, CA Metro Area",3338330,1233923,1233923,101489,101489,1132434,1132434,1132434,522793,174543,372258,370791,217295,55915,6397719,36445,272475,415370,686980,560064,352583,41740
417,"San Francisco-Oakland-Berkeley, CA Metro Area",4731803,1841897,1841897,120321,120321,1721576,1721576,1721576,791326,304008,485357,534723,304473,87476,9365597,50884,359842,539467,775579,1032030,736144,41860
418,"San Germán, PR Metro Area",116646,67903,67903,26007,26007,41896,41896,41896,11669,3447,16498,41005,6187,381,303553,,,,,,,41900
